,text,label
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",4
1,The gorgeously elaborate continuation of `` The Lord of the Rings '' trilogy is so huge that a column of words can not adequately describe co-writer/director Peter Jackson 's expanded vision of J.R.R. Tolkien 's Middle-earth .,5
2,"Singer/composer Bryan Adams contributes a slew of songs -- a few potential hits , a few more simply intrusive to the story -- but the whole package certainly captures the intended , er , spirit of the piece .",4
3,You 'd think by now America would have had enough of plucky British eccentrics with hearts of gold .,3
4,Yet the act is still charming here .,4
5,"Whether or not you 're enlightened by any of Derrida 's lectures on `` the other '' and `` the self , '' Derrida is an undeniably fascinating and playful fellow .",5
6,Just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .,5
7,Part of the charm of Satin Rouge is that it avoids the obvious with humour and lightness .,4
8,a screenplay more ingeniously constructed than `` Memento '',5
9,`` Extreme Ops '' exceeds expectations .,4
10,"Good fun , good action , good acting , good dialogue , good pace , good cinematography .",5
11,You Should Pay Nine Bucks for This : Because you can hear about suffering Afghan refugees on the news and still be unaffected .,3
12,Dramas like this make it human .,5
13,"A thunderous ride at first , quiet cadences of pure finesse are few and far between ; their shortage dilutes the potency of otherwise respectable action .",3
14,"Still , this flick is fun , and host to some truly excellent sequences .",5
15,Australian actor/director John Polson and award-winning English cinematographer Giles Nuttgens make a terrific effort at disguising the obvious with energy and innovation .,4
16,You walk out of The Good Girl with mixed emotions -- disapproval of Justine combined with a tinge of understanding for her actions .,4
17,Post 9/11 the philosophical message of `` Personal Freedom First '' might not be as palatable as intended .,3
18,Absorbing character study by André Turpin .,5
19,"If you love reading and/or poetry , then by all means check it out .",4
20,You 'll probably love it .,5
21,"`` Frailty '' has been written so well , that even a simple `` Goddammit ! ''",4
22,near the end takes on a whole other meaning .,3
23,"Grenier is terrific , bringing an unforced , rapid-fire delivery to Toback 's Heidegger - and Nietzsche-referencing dialogue .",5
24,The Sundance Film Festival has become so buzz-obsessed that fans and producers descend upon Utah each January to ferret out The Next Great Thing .,3
25,"` Tadpole ' was one of the films so declared this year , but it 's really more of The Next Pretty Good Thing .",3
26,The actors are fantastic .,5
27,They are what makes it worth the trip to the theatre .,4
28,"( Taymor ) utilizes the idea of making Kahlo 's art a living , breathing part of the movie , often catapulting the artist into her own work .",5
29,This is n't a new idea .,2
30,It 's been done before but never so vividly or with so much passion .,5
31,( `` Take Care of My Cat '' ) is an honestly nice little film that takes us on an examination of young adult life in urban South Korea through the hearts and minds of the five principals .,4
32,"It 's not life-affirming -- its vulgar and mean , but I liked it .",3
33,What `` Empire '' lacks in depth it makes up for with its heart .,4
34,"Light , silly , photographed with colour and depth , and rather a good time .",5
35,But tongue-in-cheek preposterousness has always been part of For the most part Wilde 's droll whimsy helps `` Being Earnest '' overcome its weaknesses and Parker 's creative interference ...,4
36,Much of the movie 's charm lies in the utter cuteness of Stuart and Margolo .,4
37,Their computer-animated faces are very expressive .,4
38,"The path Ice Age follows most closely , though , is the one established by Warner Bros. giant Chuck Jones , who died a matter of weeks before the movie 's release .",3
39,"... spiced with humor ( ' I speak fluent flatula , ' advises Denlopp after a rather , er , bubbly exchange with an alien deckhand ) and witty updatings ( Silver 's parrot has been replaced with Morph , a cute alien creature who mimics everyone and everything around )",4
40,There 's an energy to Y Tu Mamá También .,4
41,"Much of it comes from the brave , uninhibited performances by its lead actors .",5
42,"`` 13 Conversations '' holds its goodwill close , but is relatively slow to come to the point .",3
43,`` Auto Focus '' works as an unusual biopic and document of male swingers in the Playboy era,4
44,"If Mr. Zhang 's subject matter is , to some degree at least , quintessentially American , his approach to storytelling might be called Iranian .",3
45,... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... The film 's ending has a `` What was it all for ? '',1
46,"feeling to it , but like the 1920 's , the trip there is a great deal of fun .",4
47,`` Cremaster 3 '' should come with the warning `` For serious film buffs only ! '',4
48,Made me unintentionally famous -- as the queasy-stomached critic who staggered from the theater and blacked out in the lobby .,2
49,"But believe it or not , it 's one of the most beautiful , evocative works I 've seen .",5
50,"García Bernal and Talancón are an immensely appealing couple , and even though their story is predictable , you 'll want things to work out .",4
51,"... a spoof comedy that carries its share of laughs -- sometimes a chuckle , sometimes a guffaw and , to my great pleasure , the occasional belly laugh .",5
52,"( City ) reminds us how realistically nuanced a Robert De Niro performance can be when he is not more lucratively engaged in the shameless self-caricature of ` Analyze This ' ( 1999 ) and ` Analyze That , ' promised ( or threatened ) for later this year .",4
53,The wanton slipperiness of * Corpus and its amiable jerking and reshaping of physical time and space would make it a great piece to watch with kids and use to introduce video as art .,5
54,"`` Frailty '' starts out like a typical Bible killer story , but it turns out to be significantly different ( and better ) than most films with this theme .",5
55,"For those who pride themselves on sophisticated , discerning taste , this might not seem like the proper cup of tea , however it is almost guaranteed that even the stuffiest cinema goers will laugh their *** off for an hour-and-a-half .",5
56,"It cuts to the core of what it actually means to face your fears , to be a girl in a world of boys , to be a boy truly in love with a girl , and to ride the big metaphorical wave that is life -- wherever it takes you .",5
57,"A welcome relief from baseball movies that try too hard to be mythic , this one is a sweet and modest and ultimately winning story .",4
58,A crisp psychological drama ( and ) a fascinating little thriller that would have been perfect for an old `` Twilight Zone '' episode .,4
59,It has more than a few moments that are insightful enough to be fondly remembered in the endlessly challenging maze of moviegoing .,4
60,"Opening with some contrived banter , cliches and some loose ends , the screenplay only comes into its own in the second half .",3
61,"An uncluttered , resonant gem that relays its universal points without lectures or confrontations . '",4
62,( The Cockettes ) provides a window into a subculture hell-bent on expressing itself in every way imaginable . ',4
63,"A smart , steamy mix of road movie , coming-of-age story and political satire .",4
64,The modern-day royals have nothing on these guys when it comes to scandals .,2
65,It 's only in fairy tales that princesses that are married for political reason live happily ever after .,2
66,"A terrific B movie -- in fact , the best in recent memory .",5
67,`` Birthday Girl '' is an actor 's movie first and foremost .,4
68,I walked away from this new version of E.T. just as I hoped I would -- with moist eyes .,5
69,"For devotees of French cinema , Safe Conduct is so rich with period minutiae it 's like dying and going to celluloid heaven .",5
70,What 's really so appealing about the characters is their resemblance to everyday children .,4
71,"Shamelessly resorting to pee-related sight gags that might even cause Tom Green a grimace ; still , Myer 's energy and the silliness of it all eventually prevail",3
72,An absurdist spider web .,2
73,"If you 're as happy listening to movies as you are watching them , and the slow parade of human frailty fascinates you , then you 're at the right film .",4
74,"This version moves beyond the original 's nostalgia for the communal film experiences of yesteryear to a deeper realization of cinema 's inability to stand in for true , lived experience .",3
75,Some movies blend together as they become distant memories .,3
76,Mention `` Solaris '' five years from now and I 'm sure those who saw it will have an opinion to share .,4
77,Allen 's funniest and most likeable movie in years .,5
78,It 's a glorious spectacle like those D.W. Griffith made in the early days of silent film .,5
79,This comic gem is as delightful as it is derivative .,5
80,"More timely than its director could ever have dreamed , this quietly lyrical tale probes the ambiguous welcome extended by Iran to the Afghani refugees who streamed across its borders , desperate for work and food .",5
81,"The leaping story line , shaped by director Peter Kosminsky into sharp slivers and cutting impressions , shows all the signs of rich detail condensed into a few evocative images and striking character traits .",4
82,"With three excellent principal singers , a youthful and good-looking diva and tenor and richly handsome locations , it 's enough to make you wish Jacquot had left well enough alone and just filmed the opera without all these distortions of perspective .",3
83,"The production has been made with an enormous amount of affection , so we believe these characters love each other .",5
84,Certainly the performances are worthwhile .,4
85,"Winds up being both revelatory and narcissistic , achieving some honest insight into relationships that most high-concept films candy-coat with pat storylines , precious circumstances and beautiful stars .",4
86,Watching these eccentrics is both inspiring and pure joy .,5
87,Steven Spielberg brings us another masterpiece,5
88,"Finally , the French-produced `` Read My Lips '' is a movie that understands characters must come first .",4
89,"Ms. Seigner and Mr. Serrault bring fresh , unforced naturalism to their characters .",5
90,Allen shows he can outgag any of those young whippersnappers making moving pictures today .,4
91,"A good film with a solid pedigree both in front of and , more specifically , behind the camera .",4
92,"By no means a slam-dunk and sure to ultimately disappoint the action fans who will be moved to the edge of their seats by the dynamic first act , it still comes off as a touching , transcendent love story .",2
93,I encourage young and old alike to go see this unique and entertaining twist on the classic whale 's tale -- you wo n't be sorry !,5
94,A literary detective story is still a detective story and aficionados of the whodunit wo n't be disappointed .,4
95,High Crimes steals so freely from other movies and combines enough disparate types of films that it ca n't help but engage an audience .,4
96,If you 're a fan of the series you 'll love it and probably want to see it twice .,5
97,I will be .,4
98,"It celebrates the group 's playful spark of nonconformity , glancing vividly back at what Hibiscus grandly called his ` angels of light . '",4
99,"The story ... is inspiring , ironic , and revelatory of just how ridiculous and money-oriented the record industry really is .",5
100,It is also a testament to the integrity and vision of the band .,4
101,"Laced with liberal doses of dark humor , gorgeous exterior photography , and a stable-full of solid performances , No Such Thing is a fascinating little tale .",5
102,"Huppert 's show to steal and she makes a meal of it , channeling Kathy Baker 's creepy turn as the repressed mother on Boston Public just as much as 8 Women 's Augustine .",4
103,Nair does n't treat the issues lightly .,4
104,She allows each character to confront their problems openly and honestly .,4
105,"One of the best silly horror movies of recent memory , with some real shocks in store for unwary viewers .",5
106,The work of a filmmaker who has secrets buried at the heart of his story and knows how to take time revealing them .,4
107,Strange occurrences build in the mind of the viewer and take on extreme urgency .,4
108,"Has a certain ghoulish fascination , and generates a fair amount of B-movie excitement .",4
109,Familiar but utterly delightful .,4
110,"A fascinating , dark thriller that keeps you hooked on the delicious pulpiness of its lurid fiction .",4
111,"The film aims to be funny , uplifting and moving , sometimes all at once .",4
112,The extent to which it succeeds is impressive .,4
113,"The film brilliantly shines on all the characters , as the direction is intelligently accomplished .",5
114,"While not for every taste , this often very funny collegiate gross-out comedy goes a long way toward restoring the luster of the National Lampoon film franchise , too long reduced to direct-to-video irrelevancy .",4
115,"As broad and cartoonish as the screenplay is , there is an accuracy of observation in the work of the director , Frank Novak , that keeps the film grounded in an undeniable social realism .",4
116,"In addition to Hoffman 's powerful acting clinic , this is that rare drama that offers a thoughtful and rewarding glimpse into the sort of heartache everyone has felt , or will feel someday .",5
117,Jeffrey Tambor 's performance as the intelligent jazz-playing exterminator is Oscar-worthy .,5
118,"From the opening strains of the Average White Band 's `` Pick up the Pieces '' , you can feel the love .",4
119,Stevens ' vibrant creative instincts are the difference between this and countless other flicks about guys and dolls .,4
120,that it 'll probably be the best and most mature comedy of the 2002 summer season speaks more of the season than the picture,4
121,"Old people will love this movie , and I mean that in the nicest possible way : Last Orders will touch the heart of anyone old enough to have earned a 50-year friendship .",3
122,Meyjes ' provocative film might be called an example of the haphazardness of evil .,4
123,Tian emphasizes the isolation of these characters by confining color to Liyan 's backyard .,3
124,The movie is pretty funny now and then without in any way demeaning its subjects .,4
125,imagine a scenario where Bergman approaches Swedish fatalism using Gary Larson 's Far Side humor,4
126,"Too damn weird to pass up , and for the blacklight crowd , way cheaper ( and better ) than Pink Floyd tickets .",4
127,"It is most remarkable not because of its epic scope , but because of the startling intimacy it achieves despite that breadth .",5
128,It 's not a great monster movie .,2
129,"But if you 've paid a matinee price and bought a big tub of popcorn , there 's guilty fun to be had here .",3
130,Chomp chomp !,3
131,The Grey Zone gives voice to a story that needs to be heard in the sea of Holocaust movies ... but the film suffers from its own difficulties .,3
132,"Others , more attuned to the anarchist maxim that ` the urge to destroy is also a creative urge ' , or more willing to see with their own eyes , will find Morrison 's iconoclastic uses of technology to be liberating .",5
133,"Miller tells this very compelling tale with little fuss or noise , expertly plucking tension from quiet .",4
134,Time Out is existential drama without any of the pretension associated with the term .,4
135,"It 's a sweet , laugh-a-minute crowd pleaser that lifts your spirits as well as the corners of your mouth .",4
136,Writer/director Alexander Payne ( Election ) and his co-writer Jim Taylor brilliantly employ their quirky and fearless ability to look American angst in the eye and end up laughing .,4
137,A movie that at its best does n't just make the most out of its characters ' flaws but insists on the virtue of imperfection .,3
138,"It 's tough to watch , but it 's a fantastic movie .",5
139,The best animated feature to hit theaters since Beauty and the Beast 11 years ago .,5
140,What saves this deeply affecting film from being merely a collection of wrenching cases is Corcuera 's attention to detail .,4
141,Pacino is the best he 's been in years and Keener is marvelous .,5
142,"A solid , spooky entertainment worthy of the price of a ticket .",4
143,"By turns fanciful , grisly and engagingly quixotic .",4
144,"... very funny , very enjoyable ...",5
145,Adaptation is intricately constructed and in a strange way nails all of Orlean 's themes without being a true adaptation of her book .,4
146,So purely enjoyable that you might not even notice it 's a fairly straightforward remake of Hollywood comedies such as Father of the Bride .,4
147,Moonlight Mile gives itself the freedom to feel contradictory things .,4
148,"It is sentimental but feels free to offend , is analytical and then surrenders to the illogic of its characters , is about grief and yet permits laughter .",5
149,"The real triumphs in Igby come from Philippe , who makes Oliver far more interesting than the character 's lines would suggest , and Sarandon , who could n't be better as a cruel but weirdly likable WASP matron .",4
150,Robin Williams has thankfully ditched the saccharine sentimentality of Bicentennial Man in favour of an altogether darker side .,4
151,"If you 're willing to have fun with it , you wo n't feel cheated by the high infidelity of Unfaithful .",4
152,Australia : Land Beyond Time is an enjoyable Big Movie primarily because Australia is a weirdly beautiful place .,4
153,Hoffman 's performance is authentic to the core of his being .,4
154,Told just proficiently enough to trounce its overly comfortable trappings .,4
155,"An enthralling aesthetic experience , one that 's steeped in mystery and a ravishing , baroque beauty .",5
156,The quirky drama touches the heart and the funnybone thanks to the energetic and always surprising performance by Rachel Griffiths .,5
157,A captivating coming-of-age story that may also be the first narrative film to be truly informed by the wireless age .,5
158,What could have been a daytime soap opera is actually a compelling look at a young woman 's tragic odyssey .,4
159,Duvall is strong as always .,5
160,A no-holds-barred cinematic treat .,5
161,You 'd have to be a most hard-hearted person not to be moved by this drama .,4
162,Allen 's underestimated charm delivers more goodies than lumps of coal .,4
163,"Measured against practically any like-themed film other than its Oscar-sweeping franchise predecessor The Silence of the Lambs , Red Dragon rates as an exceptional thriller .",5
164,An exhilarating serving of movie fluff .,3
165,"Maelstrom is strange and compelling , engrossing and different , a moral tale with a twisted sense of humor .",5
166,It makes you believe the cast and crew thoroughly enjoyed themselves and believed in their small-budget film .,4
167,"Dark and disturbing , yet compelling to watch .",3
168,"Too often , Son of the Bride becomes an exercise in trying to predict when a preordained `` big moment '' will occur and not `` if . ''",2
169,"The picture uses humor and a heartfelt conviction to tell a story about discovering your destination in life , but also acknowledging the places , and the people , from whence you came .",4
170,A solid piece of journalistic work that draws a picture of a man for whom political expedience became a deadly foreign policy .,3
171,A terrific insider look at the star-making machinery of tinseltown .,4
172,It 's a diverting enough hour-and-a-half for the family audience .,4
173,A party-hearty teen flick that scalds like acid .,2
174,As giddy and whimsical and relevant today as it was 270 years ago .,5
175,The film offers an intriguing what-if premise .,5
176,The Pianist is the film Roman Polanski may have been born to make .,4
177,This version does justice both to Stevenson and to the sci-fi genre .,4
178,Poignant and delicately complex .,4
179,"Enough may pander to our basest desires for payback , but unlike many revenge fantasies , it ultimately delivers .",4
180,Cho 's latest comic set is n't as sharp or as fresh as I 'm the One That I Want ... but it 's still damn funny stuff .,4
181,"In The Pianist , Polanski is saying what he has long wanted to say , confronting the roots of his own preoccupations and obsessions , and he allows nothing to get in the way .",4
182,"Despite the film 's shortcomings , the stories are quietly moving .",4
183,"Those who love Cinema Paradiso will find the new scenes interesting , but few will find the movie improved .",3
184,"If you come from a family that eats , meddles , argues , laughs , kibbitzes and fights together , then go see this delightful comedy .",4
185,This bracingly truthful antidote to Hollywood teenage movies that slather Clearasil over the blemishes of youth captures the combustible mixture of a chafing inner loneliness and desperate grandiosity that tend to characterize puberty .,4
186,The reason to see `` Sade '' lay with the chemistry and complex relationship between the marquis ( Auteil ) and Emilie ( Le Besco ) .,3
187,It 's the filmmakers ' post-camp comprehension of what made old-time B movies good-bad that makes Eight Legged Freaks a perfectly entertaining summer diversion .,4
188,"The film 's strength is n't in its details , but in the larger picture it paints - of a culture in conflict with itself , with the thin veneer of nationalism that covers our deepest , media-soaked fears .",4
189,"... best seen as speculative history , as much an exploration of the paranoid impulse as a creative sequel to the Warren Report .",3
190,"It has its faults , but it is a kind , unapologetic , sweetheart of a movie , and Mandy Moore leaves a positive impression .",4
191,"The Saigon of 1952 is an uneasy mix of sensual delights and simmering violence , and The Quiet American brings us right into the center of that world .",4
192,"Despite its shortcomings , Girls Ca n't Swim represents an engaging and intimate first feature by a talented director to watch , and it 's a worthy entry in the French coming-of-age genre .",4
193,"Flawed , but worth seeing for Ambrose 's performance .",3
194,"With Dirty Deeds , David Caesar has stepped into the mainstream of filmmaking with an assurance worthy of international acclaim and with every cinematic tool well under his control -- driven by a natural sense for what works on screen .",5
195,The humor and humanity of Monsoon Wedding are in perfect balance .,4
196,"Lookin ' for sin , American-style ?",2
197,"Try Hell House , which documents the cautionary Christian spook-a-rama of the same name .",3
198,A compelling motion picture that illustrates an American tragedy .,5
199,"As comedic spotlights go , Notorious C.H.O. hits all the verbal marks it should .",4
200,It 's a day at the beach -- with air conditioning and popcorn .,4
201,Frida is n't that much different from many a Hollywood romance .,2
202,"What sets it apart is the vision that Taymor , the avant garde director of Broadway 's The Lion King and the film Titus , brings .",4
203,"Stevens has a flair for dialogue comedy , the film operates nicely off the element of surprise , and the large cast is solid .",5
204,"Extremely well acted by the four primary actors , this is a seriously intended movie that is not easily forgotten .",5
205,The film exudes the urbane sweetness that Woody Allen seems to have bitterly forsaken .,4
206,"K-19 : The Widowmaker is derivative , overlong , and bombastic -- yet surprisingly entertaining .",4
207,"It 's good , hard-edged stuff , violent and a bit exploitative but also nicely done , morally alert and street-smart .",4
208,"Cineasts will revel in those visual in-jokes , as in the film 's verbal pokes at everything from the likes of Miramax chief Harvey Weinstein 's bluff personal style to the stylistic rigors of Denmark 's Dogma movement .",4
209,It 's a rare window on an artistic collaboration .,4
210,"... begins with promise , but runs aground after being snared in its own tangled plot .",2
211,Perhaps the best sports movie I 've ever seen .,5
212,Cho 's timing is priceless .,5
213,"... creates a visceral sense of its characters ' lives and conflicted emotions that carries it far above ... what could have been a melodramatic , Lifetime Channel-style anthology .",3
214,"A sensitive , moving , brilliantly constructed work .",5
215,An edgy thriller that delivers a surprising punch .,4
216,A reasonably entertaining sequel to 1994 's surprise family hit that may strain adult credibility .,4
217,( Reno ) delivers a monologue that manages to incorporate both the horror and the absurdity of the situation in a well-balanced fashion .,4
218,there is truth here,4
219,"a confident , richly acted , emotionally devastating piece of work and 2002 's first great film",5
220,"A touching , small-scale story of family responsibility and care in the community .",4
221,Arteta directs one of the best ensemble casts of the year,5
222,The casting of von Sydow ... is itself Intacto 's luckiest stroke .,4
223,"No , it 's not as single-minded as John Carpenter 's original , but it 's sure a lot smarter and more unnerving than the sequels .",4
224,"A gem of a romantic crime comedy that turns out to be clever , amusing and unpredictable .",5
225,"Stands as one of the year 's most intriguing movie experiences , letting its imagery speak for it while it forces you to ponder anew what a movie can be .",5
226,"... the first 2/3 of the film are incredibly captivating and insanely funny , thanks in part to interesting cinematic devices ( cool visual backmasking ) , a solid cast , and some wickedly sick and twisted humor ...",5
227,This movie got me grinning .,4
