,name,tweet,sentiment
0,Rohit Singhal,"@EtihadAirways @EtihadHelp 
It's really a SHAME guys, First you broke my bag, now we are struggling to figure out the right procedure for claim
After Following one procedure at airport, now I got another email to follow another procedure. Really a shame
@DGCAIndia @AAI_Official",Strongly Negative
1,HHH🧚🏻‍♀️,"I already sent the form (Luggage description) to bif@alitalia.it two days back & I received today the same email to fill up the same form again.. kindly check your email & please let them call me back again now, I was busy couldn’t answer the call  pic.twitter.com/1aZv6roNhQ",Strongly Negative
2,Alitalia,"If you haven’t already, we also ask you to send an email to bif@alitalia.it with the detailed list of its contents (especially some particular items to recognize the baggage), along with PIR number and the bagage ID tag.",Strongly Negative
3,ruchi lohia,"@EtihadAirways your team has disclosed in an email written to a stranger my and my husbands  personal details: our name, email, along with our PNR number which contains our address, DOB, passport details. This represents breach of our personal data. How do you propose to fix this",Strongly Positive
4,Shashikant Dhaygude,"I replied on the mail but haven't got any response.
I don't expect this from such an established brand",Weekly Negative
5,Harry Tabner,"The highs and lows of seeing a pending charge pop up on @imaginecurve for an @EtihadAirways upgrade bid, then get an email saying bid was unsuccessful #soclose #economyforme",Strongly Negative
6,Edward Benzigar-----إدوارد بنزيجار,"Bank blocked me for asking update on my complaint @UAEBF
 They dont care @OfficialADCB

They Blocked email address, twitter for asking Update.

1 was security issue on online trnasaction..no OTP,no CVV

 Even for account cancellation , they need 100+ AED 
  pic.twitter.com/7ryL1t9A1i",Neutral
7,Premier World Travel,"อียิปต์ ไคโร กีซ่า อเล็กซานเดรีย
Etihad Airways

ชมความยิ่งใหญ่ของมหาพีระมิด
ตำนานรักอันยิ่งใหญ่ ณ อเล็กซานเดรีย

พีเรียต
ก.พ63-มี.ค63

📞ติดต่อสอบถาม
Line:@premierworld
Email: tour@premierworld.co.th
Web:  http://premierworld.co.th 
Tel: 02 945 8889
☎ Tel: 086 888 2525, 02 945 8889 pic.twitter.com/GiuJNpTpsL",Strongly Negative
8,HHH🧚🏻‍♀️,"I still didn’t receive my baggage
PIR number : FCOAZ20854 (Almansoori) 
Kindly I need an email address to request for compensation & attach all my receipts.. Rome team told me to contact UAE branch & UAE Branch told me it’s not our responsibility !!!",Strongly Negative
9,Edward Benzigar-----إدوارد بنزيجار,"Bank blocked me for asking update on my complaint @UAEBF
 They dont care @OfficialADCB

They Blocked my email address, twitter for asking Update.

 Even for account cancellation , they need 100+ AED .

@TheNationalUAE
@khaleejtimes pic.twitter.com/7ryL1t9A1i",Neutral
10,ZOZO,@EtihadAirways & @qatarairways stop sending me mail advertising and send me some damn flight tickets,Strongly Positive
11,Tanya Joy,@EtihadAirways I’m making a legal claim in the English courts against Etihad. What’s the best email address to send this to?,Weekly Negative
12,Courtney Maggs-Jones,@DavidJDicker dear David - I’d appreciate if we could arrange some contact to discuss @RodinCars and a project with @EtihadAirways inflight media and @f1abudhabigp - can we arrange a call/email please?,Strongly Negative
13,Ajay Awtaney,This was from an email. Jetprivilege says will be able to access via  http://flights.jetprivilege.com ,Strongly Positive
14,Abhinav Jain,Were you able to get the link? And was this screenshot from an email?,Weekly Negative
15,Balajee VenkataRaman,Was this an email ?,Weekly Negative
