,username,tweet,sentiment,label
0,roopeshuh,@EtihadAirways unable to reset guest password ..the link is not sent for reset to registered email...is there a technical issue ???,Strongly Negative,1
1,skalamer,"@EtihadAirways dear Etihad, may I know when the investigation will be finished in order to get the results from you. Please don’t send me auto message with the feedback email. I have sent two emails with the full story.",Strongly Negative,1
2,ellienewsflare,Hi @KamelBeyk Did you film this yourself? I am a researcher at Newsflare and we would love to work with your video in an upcoming television opportunity! Get in touch here or email me: ellie.merrett@newsflare.com and I can give you all the information on licensing etc :) thanks!,Strongly Positive,5
3,airserbia,"Marija, please send us your claim number or e-mail address in DM, so we can check your claim case with the relevant department. As soon as we get more informaiton we'll contact you back. Thank you for your patience.",Strongly Negative,1
4,carlton_luggage,"Hi  Deepak ,
 
Thank you for messaging us.
Please call our Customer Care team at: 1800 102 2255 / 022 28791936 or email us at: info@carltontravelbags.com  
so that our team can look into it at the earliest.",Weekly Negative,2
5,reesesandfitnes,@EtihadAirways can u you tell me why It’s been 48 hours and you still haven’t had a email from the department your waiting for to deal with my issue. I’m due to go on Tuesday and it’s still not resolved. This is completely unacceptable,Weekly Negative,2
6,suvasri_das,"@EtihadAirways @EtihadHelp 
– Booked my ticket at  http://Etihad.com . Arrived JFK airport almost 2hrs before the flight departure (suggested 90 min. by an email from Etihad).  Etihad did not let me board the plane stating that I am late.  Any help/suggestion?",Strongly Positive,5
7,dalcald0alfredo,"@EtihadAirways such a shame of company, they finally sent me an email just stating they are unable to compensate. The only thing that matter for them is obviously nothing else than business. No chance to have an answer to your concern.  pic.twitter.com/SyPjRTPH3c",Strongly Negative,1
8,developmentwala,"Thanks, I have sent the email and also filled the claim form. I hope @EtihadAirways will treat its customers with respect and will reimburse the damage.",Strongly Negative,1
9,vinaybishtji,"@EtihadAirways @EtihadHelp 
SEE PICTURES>> THE LOVELY RETURN GIFT BY ETIHAD > 4 DAMAGES, AND NO RESPONSE ON MY EMAIL, RUINED MY 8 MONTH OLD, IT- BRAND SUITCASE
DISGUSTING... PNR: MJTSWB DT# 03NOV, DEL TO LHR  pic.twitter.com/qzGoO3beaK",Strongly Negative,1
10,alitalia,"Hello, did you receive our email with new claim number?",Strongly Negative,1
11,choudhryemad,"Horrible customer service from ur representative & management at @EtihadAirways @EtihadHelp 

Experienced it first time in many years!
Services are just going downhill.

Check email in guest@choose.etihad",Strongly Negative,1
12,alitalia,"Hi, we are sorry for what happened, can you give us the email address from wich you wrote us?",Weekly Negative,2
13,auh,"Hello Nayan, please send us an email directly on auhlost&found@adac.ae or visit our website for more information:  http://abudhabiairport.ae/en/passenger-guide/transit/airport-information/lost-luggage …",Strongly Negative,1
14,chazhutton,"Hey @EtihadAirways, you sent me an offer to bid for an upgrade to Business Class (cool!) but your password reset email doesn't seem to work (not cool) - So, just wondering if you can upgrade me to Business now and that should be problem solved for everyone I think.",Strongly Positive,5
15,stak100,@emirates First flight with yourselves upcoming next week to Dubai and bitterly disappointed to have received an email today reassigning our selected seats! Three families travelling together now split onboard. You don’t get treated like this with @etihadairways #wontrushback 1/2,Weekly Negative,2
